Data Source,World Development Indicators,,,
,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),NY.GDP.PCAP.CD,10356.86657
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,571.8394289
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,5860.58061
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,969.2964731
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,6675.185658
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),NY.GDP.PCAP.CD,10102.29563
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,5879.699782
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),NY.GDP.PCAP.CD,5036.026187
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,4597.742305
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1364.441602
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),NY.GDP.PCAP.CD,1782.408543
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,19161.95991
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,4152.678587
Turkey,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,11707.25971
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,3507.936911
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,867.8676806
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,668.832462
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,3855.42128
Upper middle income,UMC,GDP per capita (current US$),NY.GDP.PCAP.CD,8009.525571
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,15171.58466
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,51603.49726
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,1740.468298
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),NY.GDP.PCAP.CD,6390.314389
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12985.50533
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,
Virgin Islands (U.S.),VIR,GDP per capita (current US$),NY.GDP.PCAP.CD,37849.72872
Vietnam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,1735.141276
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,3133.090209
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,10589.20847
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,4237.01463
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,3600.673475
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,1446.53628
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,7501.40728
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1763.094184
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,1304.969802
