Country,Happiness Rank,Happiness Score,Life Ladder,GDP Per Capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of Corruption,Confidence in national government,Healthcare Expenses(% of GDP),Population(100 Million),Investment,Political Rights,Civil Liberties,Life Expectancy,Beer Servings,Shots of Liquor,Wine Servings,Total Alcohol Consumption,Continent,Economic Freedom Score,Legal System Integrity,Inflation,Regulation,Defence Spending
Pakistan,81.0,5.194,5.131565094,8.38193512,0.5420380229999999,56.63999939,0.366844118,0.15038733199999998,0.842024505,0.228680417,2.3593994,1.89380513,0.979,4.0,5.0,66.37697561,0.0,0.0,0.0,0.0,Asia,6.15,5.833333333,8.062000000000001,6.36885803,7478971082.0
Panama,25.0,6.7860000000000005,6.859835625,9.822350502,0.89739114,68.69999695,0.7831825020000001,0.008150788,0.7957966329999999,0.36155623200000003,6.3885004,0.03969249,5.0577,2.0,2.0,77.76729268,285.0,104.0,18.0,7.2,North America,7.34,5.0,8.86,7.011416186,0.0
Paraguay,53.0,5.877999999999999,5.820058346000001,8.897328377000001,0.931004941,64.73999786,0.748206615,0.215980485,0.77365911,0.296063691,7.61891241,0.06639119,0.3152655,3.0,3.0,73.02563415,213.0,117.0,74.0,7.3,South America,6.89,3.333333333,9.264,6.399594337999999,320909756.6
Peru,58.0,5.824,5.824557304,9.300539017,0.7640715840000001,66.66000366,0.703000546,-0.088603899,0.8668379190000001,0.272202104,4.840802,0.31376671,7.817116455,2.0,3.0,74.78073171,163.0,160.0,21.0,6.1,South America,7.57,5.0,9.27,7.626336372000001,2857983382.0
Philippines,90.0,5.073,5.0019650460000005,8.697647095,0.812921703,61.0,0.914499581,0.047976606,0.7711676359999999,0.758208573,4.37465267,1.01716359,5.639155962,3.0,3.0,68.4067561,71.0,186.0,1.0,4.6,Asia,7.27,4.166666667,9.366,7.2293755179999994,2898685257.0
Poland,60.0,5.791,5.87593174,10.05268764,0.9359238740000001,67.62000275,0.811301708,-0.03269821,0.8878958229999999,0.26862874600000003,6.20105252,0.37986412,14.067,1.0,1.0,78.20487805,343.0,215.0,56.0,10.9,Europe,7.32,7.5,9.25,7.683210234,8986838792.0
Portugal,88.0,5.102,4.9939622880000005,10.15835667,0.86603862,71.19999695,0.773821414,-0.09924101800000001,0.959288418,0.230625153,9.34825408,0.10358076,2.235595397,1.0,1.0,81.52195122,194.0,67.0,339.0,11.0,Europe,7.31,8.333333332999999,9.446,6.891811996,4137254045.0
Romania,86.0,5.124,5.1668748860000004,9.814766883999999,0.7400431040000001,65.63999939,0.644536138,-0.11308287800000001,0.959486127,0.23637628600000002,4.70593414,0.19815481,4.317731472,2.0,2.0,74.96097561,297.0,122.0,167.0,10.4,Europe,7.47,5.8,9.334,7.76141566,2102886223.0
Senegal,142.0,3.904,3.668736935,7.690368176000001,0.711077392,57.02000046,0.668252289,-0.024531322,0.851879895,0.6451075079999999,5.15350211,0.14976994,0.3452114859,2.0,2.0,66.80441463,9.0,1.0,7.0,0.3,Africa,5.9,5.0,9.716000000000001,5.924223501,196661489.0
Serbia,87.0,5.122999999999999,5.154521942,9.464881897,0.8194304109999999,66.51999664,0.46057468700000004,-0.131628886,0.951667845,0.223251179,9.91592609,0.07095383,2.345152815,2.0,2.0,75.48780488,283.0,131.0,127.0,9.6,Europe,6.55,5.833333333,8.533999999999999,6.563226137000001,853622633.2
Slovenia,55.0,5.848,6.062891006,10.23913479,0.924753785,69.59999847,0.904386282,-0.022012195,0.8907541040000001,0.238065988,8.757906199999999,0.02063531,1.680440877,1.0,1.0,81.07804878,270.0,51.0,276.0,10.6,Europe,6.84,7.5,9.48,6.8023837689999995,543496416.5
South Africa,113.0,4.6419999999999995,5.133887768,9.410440445,0.9065951109999999,52.41999817,0.590144992,-0.17093914699999999,0.838216782,0.42587745200000005,7.752550599999999,0.5501197668,1.521139945,2.0,2.0,57.44090244,225.0,76.0,81.0,8.2,Africa,6.98,4.166666667,8.918,7.147348419,4489590096.0
Spain,36.0,6.329,6.290690422000001,10.34525871,0.937023342,73.13999939,0.7545861009999999,-0.06326709700000001,0.8435930009999999,0.339146554,9.07564442,0.46447697,25.299041417,1.0,1.0,83.3804878,284.0,157.0,112.0,10.0,Europe,7.35,8.333333332999999,9.51,6.8847972760000005,18860623363.0
Sri Lanka,132.0,4.271,4.224593163,9.208340645,0.8243572709999999,66.30000305,0.800397217,0.155217215,0.822879076,0.777017355,3.40384598,0.20966,0.6812389563,4.0,4.0,74.95319512,16.0,104.0,0.0,2.2,Asia,6.73,4.166666667,8.492,6.736713205,1474902628.0
Sweden,8.0,7.364,7.560147762000001,10.67609787,0.929397464,72.05999756,0.944382191,0.125826225,0.253543109,0.6264972089999999,10.9382056,0.09799186,7.994305865,1.0,1.0,82.55121951,152.0,60.0,186.0,7.2,Europe,7.48,10.0,9.822000000000001,8.26281869,6243671605.0
Switzerland,1.0,7.587000000000001,7.776208877999999,10.93577576,0.94686389,72.77999878,0.9454280140000001,0.13308765,0.323240787,0.769940197,11.05786041,0.08282396,97.577566732,1.0,1.0,83.19756098,185.0,100.0,280.0,10.2,Europe,8.2,8.333333332999999,9.866,8.684988938,4592165378.0
Tanzania,146.0,3.781,4.006897448999999,7.708782672999999,0.8320564029999999,53.77999878,0.577453315,0.20423518100000002,0.8869979379999999,0.41464510600000004,5.09003276,0.53879957,1.96058162,3.0,4.0,65.4874878,36.0,6.0,1.0,5.7,Africa,6.62,8.333333332999999,6.8,7.017328008,359739418.8
